Spend Category	Exiobase Spend Category
Basic metals and fabricated metal	"Secondary precious metals for treatment, re-processing of secondary precious metals into new precious metals"
Basic metals and fabricated metal	Aluminium and aluminium products
Basic metals and fabricated metal	"Secondary aluminium for treatment, re-processing of secondary aluminium into new aluminium"
Basic metals and fabricated metal	"Lead, zinc and tin and products thereof"
Basic metals and fabricated metal	"Secondary lead for treatment, reprocessing of secondary lead into new lead"
Basic metals and fabricated metal	Copper products
Basic metals and fabricated metal	"Secondary copper for treatment, reprocessing of secondary copper into new copper"
Basic metals and fabricated metal	Other non-ferrous metal products
Basic metals and fabricated metal	"Secondary other non-ferrous metals for treatment, reprocessing of secondary other non-ferrous metals into new other non-ferrous metals"
Basic metals and fabricated metal	Foundry work services
Basic metals and fabricated metal	"Fabricated metal products, except machinery and equipment"
Machinery (not elsewhere classified)	Machinery and equipment n.e.c.
Machinery (not elsewhere classified)	Office machinery and computers
Electrical and optical equipment	Electrical machinery and apparatus n.e.c.
Electrical and optical equipment	"Radio, television and communication equipment and apparatus n.e.c."
Electrical and optical equipment	"Medical, precision and optical instruments, watches and clocks"
Transport equipment	"Motor vehicles, trailers and semi-trailers"
Transport equipment	Other transport equipment
Manufacturing (not elsewhere classified)	Furniture; other manufactured goods n.e.c.
Manufacturing (not elsewhere classified)	Secondary raw materials
Construction	Construction work
Construction	"Secondary construction material for treatment, re-processing of secondary construction material into new construction material"
Sale and repair of motor vehicles and motorcycles	"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessories"
Wholesale trade (not elsewhere classified)	"Wholesale trade and commission trade services, except for motor vehicles and motorcycles"
Retail trade (not elsewhere classified)	"Retail trade services, except of motor vehicles and motor cycles"
Retail trade (not elsewhere classified)	Retail trade services of motor fuel
Hotels and restaurants	Hotel and restaurant services
Inland transport	Railway transportation services
Inland transport	Other land transportation services
Inland transport	Transportation services via pipeline
Water transport	Sea and coastal water transportation services
Air transport	Air transport services
Other supporting and auxiliary transport	"Supporting and auxiliary transport services, travel agency services"
Post and telecommunications	Post and telecommunications services
Financial intermediation	"Financial intermediation services, except insurance and pension funding services"
Financial intermediation	"Insurance and pension funding services, except compulsory social security services"
Financial intermediation	Supporting and auxil
Other	Computer and related services
Other	Research and development services
Other	Other services
