SITC Categories,Item Cat 1,Item Cat 2
Food and live animals,Live Animals,Bovine: Pure-bred breeding animals
Food and live animals,Live Animals,Bovine: Other than pure-bred breeding animals
Food and live animals,Live Animals,"Sheep, live"
Food and live animals,Live Animals,"Goats, live"
Food and live animals,Live Animals,Swine: Pure-bred breeding animals
Food and live animals,Live Animals,Swine: Other than pure-bred breeding animals
Food and live animals,Live Animals,"Poultry, live (<185 g)"
Food and live animals,Live Animals,Other
Food and live animals,Live Animals,"Horses, asses, mules and hinnies, live"
Food and live animals,Live Animals,"Live animals, n.e.s."
Food and live animals,Meat,"Bovine, fresh or chilled, bone in"
Food and live animals,Meat,"Bovine, fresh or chilled, boneless"
Food and live animals,Meat,"Bovine, frozen, bone in"
Food and live animals,Meat,"Bovine, frozen, boneless"
Food and live animals,Meat,"Sheep, fresh or chilled"
Food and live animals,Meat,"Sheep, frozen"
Food and live animals,Meat,"Goats, fresh, chilled or frozen "
Food and live animals,Meat,"Swine, fresh or chilled"
Food and live animals,Meat,"Swine, frozen"
Food and live animals,Meat,"Poultry, whole, fresh or chilled "
Food and live animals,Meat,"Poultry, whole, frozen"
Food and live animals,Meat,"Fatty livers of geese or ducks, fresh or chilled"
Food and live animals,Meat,"Poultry, cuts and offal, fresh or chilled "
Food and live animals,Meat,"Poultry, cuts and offal, frozen"
Food and live animals,Meat,"Horses, asses, mules or hinnies, fresh, chilled or frozen"
Food and live animals,Meat,"Edible offal of bovine animals, fresh or chilled"
Food and live animals,Meat,"Edible offal of bovine animals, frozen"
Food and live animals,Meat,"Edible offal of swine, fresh or chilled"
Food and live animals,Meat,"Edible offal of swine, frozen"
Food and live animals,Meat,"Edible offal of sheep, goats, horses, asses, mules or hinnies, fresh or chilled"
Food and live animals,Meat,"Edible offal of sheep, goats, horses, asses, mules or hinnies, frozen"
Food and live animals,Meat,Meat and edible meat offal of rabbits or hares
Food and live animals,Meat,Snails (other than sea snails)
Food and live animals,Meat,"Other meat and edible meat offal, fresh, chilled or frozen"
Food and live animals,Meat,"Hams, shoulders and cuts thereof, bone in"
Food and live animals,Meat,Bellies (streaky) and cuts thereof
Food and live animals,Meat,"Other salted, dried or smoked meat of swine"
Food and live animals,Meat,"Bovine meat and offal, salted, in brine, dried or smoked "
Food and live animals,Meat,"Other, including edible flours and meals of meat or meat offal "
Food and live animals,Meat,"Extracts and juices of meat, fish or crustaceans, molluscs or other aquatic invertebrates"
Food and live animals,Meat,"Sausages and similar products, of meat, meat offal or blood; food preparations based on these products "
Food and live animals,Meat,"Liver of any animal, prepared or preserved, n.e.s."
Food and live animals,Meat,"Meat and offal (other than liver) of poultry, prepared or preserved, n.e.s."
Food and live animals,Meat,"Meat and offal (other than liver), of swine, prepared or preserved, n.e.s."
Food and live animals,Meat,"Meat and offal (other than liver), of bovine animals, prepared or preserved, n.e.s."
Food and live animals,Meat,Other prepared or preserved meat or meat offal (including preparations of blood of any animal) 
Food and live animals,Dairy,"Milk of a fat content, by weight, ≤1%"
Food and live animals,Dairy,"Milk and cream, of a fat content, by weight, 1.1–6% "
Food and live animals,Dairy,"Cream of a fat content, by weight, ≥6%"
Food and live animals,Dairy,"Milk, in solid form, of a fat content, by weight, ≤1.5%"
Food and live animals,Dairy,"Milk and cream, in solid form, of a fat content, by weight, >1.5%"
Food and live animals,Dairy,"Milk and cream, not in solid form, not containing added sugar or sweeteners"
Food and live animals,Dairy,"Milk and cream, not in solid form, containing added sugar or sweeteners "
Food and live animals,Dairy,"Yogurt, of all kinds, whether or not concentrated or containing added sugar or sweeteners or flavoured or containing added fruit, nuts or cocoa"
Food and live animals,Dairy,"Buttermilk, curdled milk and cream, kefir and other fermented or acidified milk or cream, whether or not concentrated or containing added sugar or sweeteners or flavoured or containing added fruit, nuts or cocoa"
Food and live animals,Dairy,"Ice-cream and other edible ice, whether or not containing cocoa "
Food and live animals,Dairy,Whey and modified whey
Food and live animals,Dairy,"Products consisting of natural milk constituents, n.e.s. "
Food and live animals,Dairy,Butter and other fats and oils derived from milk; dairy spreads 
Food and live animals,Dairy,"Grated or powdered cheese, of all kinds"
Food and live animals,Dairy,"Processed cheese, not grated or powdered"
Food and live animals,Dairy,Blue-veined cheese and other cheese containing veins produced by Penicillium roqueforti
Food and live animals,Dairy,"Fresh (unripened or uncured) cheese, including whey cheese, and curd"
Food and live animals,Dairy,Other cheese 
Food and live animals,Dairy,"Birds' eggs, in shell, fresh, preserved or cooked"
Food and live animals,Dairy,"Birds' eggs, not in shell, and egg yolks, dried"
Food and live animals,Dairy,"Birds' eggs, not in shell, and egg yolks, other than dried"
Food and live animals,Dairy,Egg albumin 
Food and live animals,Seafood,"Fish, live"
Food and live animals,Seafood,"Salmonidae, fresh or chilled"
Food and live animals,Seafood,"Flat- fish, fresh or chilled"
Food and live animals,Seafood,"Tunas, skipjack or stripe-bellied bonito, fresh or chilled"
Food and live animals,Seafood,"Herrings, sardines, sardinella, brislings or sprats, fresh or chilled"
Food and live animals,Seafood,"Cod, fresh or chilled"
Food and live animals,Seafood,"Mackerel (scombrids), fresh or chilled"
Food and live animals,Seafood,"Other fish, fresh or chilled"
Food and live animals,Seafood,"Fish livers and roes, fresh or chilled"
Food and live animals,Seafood,"Salmonidae, frozen"
Food and live animals,Seafood,"Flat-fish, frozen"
Food and live animals,Seafood,"Tunas, skipjack or stripe-bellied bonito, frozen"
Food and live animals,Seafood,"Herrings, sardines, sardinella, brislings or sprats, frozen"
Food and live animals,Seafood,"Cod, frozen"
Food and live animals,Seafood,"Mackerel (scombrids), frozen"
Food and live animals,Seafood,"Hake, frozen"
Food and live animals,Seafood,"Other fish, frozen"
Food and live animals,Seafood,"Fish livers and roes, frozen"
Food and live animals,Seafood,"Fish fillets, frozen"
Food and live animals,Seafood,"Fish fillets and other fish meat, fresh or chilled"
Food and live animals,Seafood,"Fish meat (other than fillets), frozen "
Food and live animals,Seafood,"Cod, not in fillets, dried, whether or not salted"
Food and live animals,Seafood,"Fish fillets, dried, salted or in brine"
Food and live animals,Seafood,"Fish, dried, whether or not salted, n.e.s."
Food and live animals,Seafood,Cod
Food and live animals,Seafood,Anchovies
Food and live animals,Seafood,Other fish
Food and live animals,Seafood,"Fish (including fillets), smoked"
Food and live animals,Seafood,"Fish liver and roes, dried, smoked, salted or in brine"
Food and live animals,Seafood,"Flours, meals and pellets of fish, fit for human consumption "
Food and live animals,Seafood,"Shrimps and prawns, frozen"
Food and live animals,Seafood,"Other crustaceans, frozen, including flours, meals and pellets of crustaceans, fit for human consumption"
Food and live animals,Seafood,"Crustaceans, other than frozen, including flours, meals and pellets of crustaceans, fit for human consumption"
Food and live animals,Seafood,Oysters
Food and live animals,Seafood,"Cuttlefish, octopus and squid, fresh or chilled"
Food and live animals,Seafood,"Other molluscs and aquatic invertebrates, fresh or chilled"
Food and live animals,Seafood,"Cuttlefish, octopus and squid, frozen, dried, salted or in brine; flours, meals and pellets thereof, fit for human consumption "
Food and live animals,Seafood,"Other molluscs and aquatic invertebrates, frozen, dried, salted or in brine, including flours, meals and pellets of aquatic invertebrates other than crustaceans, fit for human consumption "
Food and live animals,Seafood,"Salmon, whole or in pieces, but not minced"
Food and live animals,Seafood,"Herrings, sardines, sardinella and brislings or sprats, whole or in pieces, but not minced "
Food and live animals,Seafood,"Tunas, skipjack and Atlantic bonito (Sarda spp.), whole or in pieces, but not minced"
Food and live animals,Seafood,"Mackerel, whole or in pieces, but not minced"
Food and live animals,Seafood,"Other fish, whole or in pieces, but not minced "
Food and live animals,Seafood,"Other fish, prepared or preserved, n.e.s."
Food and live animals,Seafood,Caviar and caviar substitutes prepared from fish eggs 
Food and live animals,Seafood,"Crustaceans, prepared or preserved, n.e.s."
Food and live animals,Seafood,"Molluscs and other aquatic invertebrates, prepared or preserved, n.e.s. "
Food and live animals,Cereals and grains,"Durum wheat, unmilled"
Food and live animals,Cereals and grains,"Other wheat (including spelt) and meslin, unmilled "
Food and live animals,Cereals and grains,Rice in the husk (paddy or rough rice)
Food and live animals,Cereals and grains,"Rice, husked but not further prepared (cargo rice or brown rice)"
Food and live animals,Cereals and grains,"Rice, semi-milled or wholly milled, whether or not polished, glazed, parboiled or converted (excluding broken rice)"
Food and live animals,Cereals and grains,Broken rice
Food and live animals,Cereals and grains,"Barley, unmilled "
Food and live animals,Cereals and grains,"Maize, unmilled, seed (excluding sweet corn)"
Food and live animals,Cereals and grains,"Maize, unmilled, other (excluding sweet corn)"
Food and live animals,Cereals and grains,"Rye, unmilled"
Food and live animals,Cereals and grains,"Oats, unmilled"
Food and live animals,Cereals and grains,"Grain sorghum, unmilled"
Food and live animals,Cereals and grains,"Millet, unmilled"
Food and live animals,Cereals and grains,"Buckwheat, unmilled"
Food and live animals,Cereals and grains,"Canary seed, unmilled"
Food and live animals,Cereals and grains,"Cereals, unmilled, n.e.s. "
Food and live animals,Cereals and grains,Flour of wheat or of meslin
Food and live animals,Cereals and grains,Groats and meal of wheat
Food and live animals,Cereals and grains,Maize (corn) flour
Food and live animals,Cereals and grains,Other flours
Food and live animals,Cereals and grains,Groats and meal of maize (corn)
Food and live animals,Cereals and grains,Groats and meal of other cereals
Food and live animals,Cereals and grains,Pellets
Food and live animals,Cereals and grains,Prepared foods obtained by the swelling or roasting of cereals or cereal products and from unroasted cereal flakes or from mixtures of unroasted and roasted cereal flakes or swelled cereals 
Food and live animals,Cereals and grains,"Cereals other than maize (corn), in grain form, precooked or otherwise prepared"
Food and live animals,Cereals and grains,"Other rolled or flaked cereal grains, except rice"
Food and live animals,Cereals and grains,"Other worked cereal grains (e.g., hulled, pearled, clipped, sliced or kibbled)"
Food and live animals,Cereals and grains,"Germ of cereals, whole, rolled, flaked or ground"
Food and live animals,Cereals and grains,"Malt, whether or not roasted (including malt flour)"
Food and live animals,Cereals and grains,"Macaroni, spaghetti and similar products (pasta), uncooked, not stuffed or otherwise prepared "
Food and live animals,Cereals and grains,"Crispbread, rusks, toasted bread and similar products"
Food and live animals,Cereals and grains,"Sweet biscuits, waffles and wafers, gingerbread and the like"
Food and live animals,Cereals and grains,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa in any proportion; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice-paper and similar products"
Food and live animals,Cereals and grains,Mixes and doughs for the preparation of bakers' wares
Food and live animals,Vegetables,"Potatoes, fresh or chilled (not including sweet potatoes) "
Food and live animals,Vegetables,"Peas, dried, shelled, whether or not skinned or split"
Food and live animals,Vegetables,"Chick-peas, dried, shelled, whether or not skinned or split"
Food and live animals,Vegetables,"Beans, other than broad beans and horse beans, dried, shelled, whether or not skinned or split"
Food and live animals,Vegetables,"Lentils, dried, shelled, whether or not skinned or split"
Food and live animals,Vegetables,"Broad beans and horse beans, dried, shelled, whether or not skinned or split"
Food and live animals,Vegetables,"Other leguminous vegetables, dried, shelled, whether or not skinned or split"
Food and live animals,Vegetables,"Tomatoes, fresh or chilled"
Food and live animals,Vegetables,"Onions and shallots, fresh or chilled"
Food and live animals,Vegetables,"Garlic, leeks and other alliaceous vegetables, fresh or chilled "
Food and live animals,Vegetables,"Cabbage and similar edible brassicas, fresh or chilled"
Food and live animals,Vegetables,"Lettuce and chicory (including endive), fresh or chilled"
Food and live animals,Vegetables,"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh or chilled"
Food and live animals,Vegetables,"Cucumbers and gherkins, fresh or chilled"
Food and live animals,Vegetables,"Leguminous vegetables, fresh or chilled"
Food and live animals,Vegetables,"Mushrooms and truffles, fresh or chilled"
Food and live animals,Vegetables,"Other vegetables, fresh or chilled"
Food and live animals,Vegetables,"Sweet corn, uncooked or cooked by steaming or boiling in water, frozen"
Food and live animals,Vegetables,"Other vegetables and mixtures of vegetables, uncooked or cooked by steaming or boiling in water, frozen"
Food and live animals,Vegetables,"Vegetables provisionally preserved, but unsuitable in that state for immediate consumption"
Food and live animals,Vegetables,"Manioc (cassava), fresh, dried or chilled"
Food and live animals,Vegetables,"Arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers (other than manioc) with high starch or inulin content whether or not sliced or in the form of pellets; sago pith, fresh, dried or chilled"
Food and live animals,Vegetables,"Hope cones and lupulin, fresh, dried or chilled"
Food and live animals,Vegetables,"Sugar beet, fresh or dried, whether or not ground"
Food and live animals,Vegetables,"Vegetable products of a kind used chiefly for human foods, n.e.s. "
Food and live animals,Vegetables,Onions
Food and live animals,Vegetables,"Mushrooms, wood ears, jelly fungi and truffles; fresh, dried or chilled "
Food and live animals,Vegetables,"Other vegetables; mixtures of vegetables, dried, whole, cut, sliced, broken or in powder, but not further prepared"
Food and live animals,Vegetables,Flour and meal of potatoes
Food and live animals,Vegetables,"Flakes, granules and pellets of potatoes"
Food and live animals,Vegetables,Tapioca and starch
Food and live animals,Vegetables,Flour and meal from legumes
Food and live animals,Vegetables,"Flour and meal of sago, roots or tubers of high starch or inulin"
Food and live animals,Vegetables,"Flour, meal and powder of fruit and nuts"
Food and live animals,Vegetables,"Potatoes prepared or preserved otherwise than by vinegar or acetic acid, frozen "
Food and live animals,Vegetables,"Other vegetables and mixtures of vegetables prepared or preserved otherwise than by vinegar or acetic acid, frozen "
Food and live animals,Vegetables,"Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid "
Food and live animals,Vegetables,"Tomatoes prepared or preserved otherwise than by vinegar or acetic acid, whole or in pieces."
Food and live animals,Vegetables,"Tomatoes, prepared or preserved otherwise than by vinegar or acetic acid, n.e.s. "
Food and live animals,Vegetables,Mushrooms and truffles prepared or preserved otherwise than by vinegar or acetic acid
Food and live animals,Vegetables,"Potatoes prepared or preserved otherwise than by vinegar or acetic acid, not frozen "
Food and live animals,Vegetables,Sweet corn prepared or preserved otherwise than by vinegar or acetic acid
Food and live animals,Vegetables,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen "
Food and live animals,Fruit,"Oranges, fresh or dried"
Food and live animals,Fruit,"Mandarins; clementines, wilkings and similar citrus hybrids, fresh or dried "
Food and live animals,Fruit,Lemons and limes fresh or dried
Food and live animals,Fruit,"Grapefruit, fresh or dried"
Food and live animals,Fruit,"Citrus fruit, n.e.s., fresh or dried"
Food and live animals,Fruit,"Bananas (including plantains), fresh or dried "
Food and live animals,Fruit,"Apples, fresh"
Food and live animals,Fruit,"Grapes, fresh"
Food and live animals,Fruit,"Grapes, dried (e.g., raisins)"
Food and live animals,Fruit,"Figs, fresh or dried "
Food and live animals,Fruit,Coconuts
Food and live animals,Fruit,Brazil nuts 
Food and live animals,Fruit,Cashew nuts
Food and live animals,Fruit,Almonds
Food and live animals,Fruit,Hazelnuts or filberts
Food and live animals,Fruit,Walnuts 
Food and live animals,Fruit,Chestnuts
Food and live animals,Fruit,Pistachios
Food and live animals,Fruit,"Edible nuts (excluding mixtures), fresh or dried, n.e.s."
Food and live animals,Fruit,"Melons, papayas, fresh"
Food and live animals,Fruit,"Pears and quinces, fresh"
Food and live animals,Fruit,"Apricots, cherries, peaches, nectarines, plums and sloes, fresh."
Food and live animals,Fruit,"Strawberries, raspberries, blackberries, mulberries, loganberries, cranberries, bilberries, and other fruits of the genus Vaccinium, fresh"
Food and live animals,Fruit,"Pineapples, fresh or dried"
Food and live animals,Fruit,"Dates, fresh or dried"
Food and live animals,Fruit,"Avocados, guavas, mangoes and mangosteens, fresh or dried"
Food and live animals,Fruit,Other fresh fruit
Food and live animals,Fruit,"Fruit, dried, n.e.s., and mixtures, n.e.s., of nuts or dried fruits"
Food and live animals,Fruit,"Jams, fruit jellies, marmalades, fruit or nut pure_e or pastes, as cooked preparations, not including homogenized preparations "
Food and live animals,Fruit,"Fruit and nuts, provisionally preserved, but unsuitable in that state for immediate consumption "
Food and live animals,Fruit,"Peel of citrus fruit or melons, fresh, frozen, dried or provisionally preserved"
Food and live animals,Fruit,"Strawberries, frozen"
Food and live animals,Fruit,"Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries; frozen"
Food and live animals,Fruit,"Other fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweeteners"
Food and live animals,Fruit,"Nuts, groundnuts and other seeds, n.e.s.; prepared or preserved"
Food and live animals,Fruit,"Pineapples, prepared or preserved"
Food and live animals,Fruit,"Citrus fruit, prepared or preserved"
Food and live animals,Fruit,"Apricots, cherries and peaches; prepared or preserved "
Food and live animals,Fruit,"Fruits or edible parts of plants, n.e.s.; prepared or preserved"
Food and live animals,Fruit,"Mixtures of fruits or other edible parts of plants, n.e.s.; prepared or preserved "
Food and live animals,Fruit,Pineapple juice
Food and live animals,Fruit,Tomato juice
Food and live animals,Fruit,Grape juice (including grape must)
Food and live animals,Fruit,Apple juice
Food and live animals,Fruit,Juice of any other single fruit or vegetable
Food and live animals,Fruit,Mixtures of fruit or vegetable juices 
Food and live animals,Sugar and candy,"Cane sugar, raw"
Food and live animals,Sugar and candy,"Beet sugar, raw "
Food and live animals,Sugar and candy,"Other beet or cane sugar and chemically pure sucrose, in solid form, containing added flavouring or colouring matter"
Food and live animals,Sugar and candy,"Other beet or cane sugar and chemically pure sucrose, in solid form; other"
Food and live animals,Sugar and candy,Cane molasses
Food and live animals,Sugar and candy,"Beet sugar molasses and other molasses (e.g., corn molasses)"
Food and live animals,Sugar and candy,Natural honey 
Food and live animals,Sugar and candy,Lactose and lactose syrup 
Food and live animals,Sugar and candy,Maple sugar and maple syrup
Food and live animals,Sugar and candy,"Glucose (dextrose) and glucose syrup, not containing fructose or containing, in the dry state, less than 20% by weight of fructose."
Food and live animals,Sugar and candy,"Glucose and glucose syrup, containing in the dry state at least 20% but not more than 50% by weight of fructose"
Food and live animals,Sugar and candy,Pure fructose
Food and live animals,Sugar and candy,"Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose"
Food and live animals,Sugar and candy,Other sugars (including invert sugar) 
Food and live animals,Sugar and candy,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glace or crystallised)"
Food and live animals,Sugar and candy,"Chewing-gum, whether or not sugar-coated"
Food and live animals,Sugar and candy,"Other sugar confectionery (including white chocolate), not containing cocoa"
Food and live animals,Coffee tea cocoa and spices,"Coffee, not roasted, not decaffeinated"
Food and live animals,Coffee tea cocoa and spices,"Coffee, not roasted, decaffeinated"
Food and live animals,Coffee tea cocoa and spices,"Coffee, roasted "
Food and live animals,Coffee tea cocoa and spices,"Extracts, essences and concentrates of coffee, and preparations thereof"
Food and live animals,Coffee tea cocoa and spices,Coffee husks and skins; coffee substitutes containing coffee in any proportion
Food and live animals,Coffee tea cocoa and spices,"Roasted chicory and other roasted coffee substitutes (not containing coffee) and extracts, essences and concentrates thereof "
Food and live animals,Coffee tea cocoa and spices,"Cocoa beans, whole or broken, raw or roasted"
Food and live animals,Coffee tea cocoa and spices,Cocoa powder not containing added sugar or other sweetening matter
Food and live animals,Coffee tea cocoa and spices,"Cocoa paste, not defatted (liquor)"
Food and live animals,Coffee tea cocoa and spices,"Cocoa paste, wholly or partly defatted (cocoa cake)"
Food and live animals,Coffee tea cocoa and spices,"Cocoa butter, fat and oil"
Food and live animals,Coffee tea cocoa and spices,"Cocoa shells, husks, skins and other cocoa waste "
Food and live animals,Coffee tea cocoa and spices,Cocoa powder containing added sugar or other sweetening matter
Food and live animals,Coffee tea cocoa and spices,"Other food preparations containing cocoa, in blocks, slabs or bars >2 kg or in liquid, paste, powder, granular or other bulk form in containers or immediate packings of a content >2 kg "
Food and live animals,Coffee tea cocoa and spices,"Other food preparations containing cocoa, in blocks, slabs or bars, whether or not filled"
Food and live animals,Coffee tea cocoa and spices,Other chocolate and food preparations containing cocoa n.e.s. 
Food and live animals,Coffee tea cocoa and spices,"Green tea (not fermented), in immediate packings of a content ≤3 kg, whether or not flavoured"
Food and live animals,Coffee tea cocoa and spices,"Other green tea (not fermented), whether or not flavoured "
Food and live animals,Coffee tea cocoa and spices,"Black tea (fermented) and partly fermented tea, in immediate packings of a content ≥3 kg, whether or not flavoured"
Food and live animals,Coffee tea cocoa and spices,"Other black tea (fermented) and other partly fermented tea, whether or not flavoured "
Food and live animals,Coffee tea cocoa and spices,"Mate_ (yerba mate, Paraguay tea, or Brazilian tea) "
Food and live animals,Coffee tea cocoa and spices,"Extracts, essences and concentrates of tea or mate_, and preparations with a basis of tea, maté, or their extracts, essences or concentrates. s"
Food and live animals,Coffee tea cocoa and spices,"Pepper of the genus Piper, neither crushed nor ground"
Food and live animals,Coffee tea cocoa and spices,"Pepper of the genus Piper, crushed or ground "
Food and live animals,Coffee tea cocoa and spices,"Fruits of the genus Capsicum or of the genus Pimenta, dried or crushed or ground"
Food and live animals,Coffee tea cocoa and spices,Vanilla 
Food and live animals,Coffee tea cocoa and spices,"Cinnamon and cinnamon-tree flowers, neither crushed nor ground"
Food and live animals,Coffee tea cocoa and spices,"Cinnamon and cinnamon-tree flowers, crushed or ground"
Food and live animals,Coffee tea cocoa and spices,"Cloves (whole fruit, cloves and stems)"
Food and live animals,Coffee tea cocoa and spices,"Nutmeg, mace and cardamoms"
Food and live animals,Coffee tea cocoa and spices,"Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries"
Food and live animals,Coffee tea cocoa and spices,Ginger (excluding ginger preserved in sugar or conserved in syrup)
Food and live animals,Coffee tea cocoa and spices,Saffron
Food and live animals,Coffee tea cocoa and spices,Other spices; spice mixtures
Food and live animals,Animal feeds,"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form of pellets"
Food and live animals,Animal feeds,Lucerne (alfalfa) meal and pellets
Food and live animals,Animal feeds,"Swedes, mangolds, fodder roots, hay, clover, sainfoin, forage kale, lupines, vetches and similar forage products, whether or not in the form of pellets "
Food and live animals,Animal feeds,"Vegetables residues and by-products, vegetable materials and vegetable waste, whether or not in the form of pellets, of a kind used for animal food, n.e.s."
Food and live animals,Animal feeds,"Bran, sharps and other residues, whether or not in the form of pellets, derived from the sifting, milling or other working of leguminous plants"
Food and live animals,Animal feeds,"Bran, sharps and other residues, whether or not in the form of pellets, derived from the sifting, milling or other working of maize (corn)"
Food and live animals,Animal feeds,"Bran, sharps and other residues, whether or not in the form of pellets, derived from the sifting, milling or other working of wheat"
Food and live animals,Animal feeds,"Bran, sharps and other residues, whether or not in the form of pellets, derived from the sifting, milling or other working of other cereals"
Food and live animals,Animal feeds,"Oil-cake and other solid residues (except dregs), whether or not ground or in the form of pellets, resulting from the extraction of fats or oils of soya beans"
Food and live animals,Animal feeds,"Oil-cake and other solid residues (except dregs), whether or not ground or in the form of pellets, resulting from the extraction of fats or oils of groundnuts"
Food and live animals,Animal feeds,"Oil-cake and other solid residues (except dregs), whether or not ground or in the form of pellets, resulting from the extraction of fats or oils of cotton seeds"
Food and live animals,Animal feeds,"Oil-cake and other solid residues (except dregs), whether or not ground or in the form of pellets, resulting from the extraction of fats or oils of linseed"
Food and live animals,Animal feeds,"Oil-cake and other solid residues (except dregs), whether or not ground or in the form of pellets, resulting from the extraction of fats or oils of sunflower seeds"
Food and live animals,Animal feeds,"Oil-cake and other solid residues (except dregs), whether or not ground or in the form of pellets, resulting from the extraction of fats or oils of rape or coiza seeds"
Food and live animals,Animal feeds,"Oil-cake and other solid residues (except dregs), whether or not ground or in the form of pellets, resulting from the extraction of fats or oils of coconut or copra"
Food and live animals,Animal feeds,"Oil-cake and other solid residues (except dregs), whether or not ground or in the form of pellets, resulting from the extraction of fats or oils of palm nuts or palm kernels"
Food and live animals,Animal feeds,"Oil-cake and other solid residues (except dregs), whether or not ground or in the form of pellets, resulting from the extraction of fats or oils of other oil- seeds, oleaginous fruits and germs of cereals "
Food and live animals,Animal feeds,"Flours, meals and pellets, of meat or meat offal, unfit for human consumption; greaves"
Food and live animals,Animal feeds,"Flours, meals and pellets, of fish or of crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption "
Food and live animals,Animal feeds,Residues of starch manufacture and similar residues
Food and live animals,Animal feeds,"Beet pulp, bagasse and other waste of sugar manufacture"
Food and live animals,Animal feeds,Brewing or distilling dregs and waste
Food and live animals,Animal feeds,Wine lees; argol
Food and live animals,Animal feeds,"Dog or cat food, put up for retail sale"
Food and live animals,Animal feeds,"Preparations of a kind used for animal food, n.e.s. "
Food and live animals,Other edible products,Margarine (excluding liquid margarine)
Food and live animals,Other edible products,Other edible mixtures or preparations of animal or vegetable fats or oils
Food and live animals,Other edible products,Homogenized preparations from meat and edible meat offal
Food and live animals,Other edible products,Homogenized vegetables
Food and live animals,Other edible products,"Cooked fruit preparations, homogenized"
Food and live animals,Other edible products,Homogenized composite food preparations
Food and live animals,Other edible products,Soya sauce
Food and live animals,Other edible products,Tomato ketchup and other tomato sauces
Food and live animals,Other edible products,Mustard flour and meal and prepared mustard
Food and live animals,Other edible products,Vinegar and substitutes for vinegar obtained from acetic acid
Food and live animals,Other edible products,Other sauces and preparations therefor; mixed condiments and mixed seasonings
Food and live animals,Other edible products,Soups and broths and preparations therefor
Food and live animals,Other edible products,"Yeasts (active or inactive); other single-cell micro-organisms, dead; prepared baking-powders"
Food and live animals,Other edible products,"Pasta, cooked or stuffed; couscous, whether or not prepared"
Food and live animals,Other edible products,"Edible products of animal origin, n.e.s. "
Food and live animals,Other edible products,"Food preparations for infant use, put up for retail sale, of flour, meal, starch or malt extract (not containing cocoa or containing cocoa in a proportion by weight of less than 40% calculated on totally defatted basis, n.e.s., or of dairy products (not containing cocoa or containing cocoa in a proportion by weight of less than 5%), n.e.s. "
Food and live animals,Other edible products,"Malt extract; food preparations of flour, meal, starch or malt extract (not containing cocoa or containing cocoa in a proportion by weight of less than 40% calculated on totally defatted basis, n.e.s., or of dairy products (not containing cocoa or containing cocoa in a proportion by weight of less than 5%), n.e.s. "
Food and live animals,Other edible products,"Other food preparations, n.e.s."
Beverages and tobacco,Beverages,"Waters, natural or artificial mineral waters and aerated waters, not containing added sugar or other sweetening matter nor flavoured; ice and snow."
Beverages and tobacco,Beverages,"Waters (including mineral waters and aerated waters) containing added sugar or other sweetening matter or flavoured, and other non-alcoholic beverages, n.e.s. "
Beverages and tobacco,Beverages,Grape must in fermentation or with fermentation arrested otherwise than by the addition of alcohol 
Beverages and tobacco,Beverages,Vermouth and other wines of fresh grapes flavoured with plants or aromatic substances
Beverages and tobacco,Beverages,Sparkling wine
Beverages and tobacco,Beverages,Wine of fresh grapes (other than sparkling wine); grape must with fermentation prevented or arrested by the addition of alcohol 
Beverages and tobacco,Beverages,"Fermented beverages, n.e.s. (e.g., cider, perry, mead); mixtures of fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, n.e.s."
Beverages and tobacco,Beverages,"Beer made from malt (including ale, stout and porter) "
Beverages and tobacco,Beverages,Whiskies
Beverages and tobacco,Beverages,Spirits obtained by distilling grape wine or grape marc
Beverages and tobacco,Beverages,Rum and other spirits obtained by distilling fermented sugar cane products
Beverages and tobacco,Beverages,Gin and geneva
Beverages and tobacco,Beverages,"Spirits and distilled alcoholic beverages, n.e.s. "
Beverages and tobacco,Tobacco and tobacco manufactures,"Tobacco, not stemmed/stripped"
Beverages and tobacco,Tobacco and tobacco manufactures,"Tobacco, wholly or partly stemmed/stripped"
Beverages and tobacco,Tobacco and tobacco manufactures,Tobacco refuse 
Beverages and tobacco,Tobacco and tobacco manufactures,"Cigars, cheroots and cigarillos, containing tobacco"
Beverages and tobacco,Tobacco and tobacco manufactures,Cigarettes containing tobacco
Beverages and tobacco,Tobacco and tobacco manufactures,"Cigars, cheroots, cigarillos and cigarettes, of tobacco substitutes"
Beverages and tobacco,Tobacco and tobacco manufactures,"Smoking tobacco, whether or not containing tobacco substitutes in any proportion."
Beverages and tobacco,Tobacco and tobacco manufactures,"Manufactured tobacco, extracts and essences, n.e.s. "
